Data,Model,Type,train_size,seed,best_ll,ground_ll,THD,node_types,edges,SHD,Recall,Precision
G5,LG,Fixed,200,7,-4333.881390303104,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,17,-4322.175429884285,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,27,-4315.896846008218,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,37,-4291.506992837512,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,47,-4378.384491700436,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,57,-4285.8226084767675,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,67,-4321.355445159373,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,77,-4302.38931732628,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,87,-4309.3848775981905,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,97,-4382.640713033645,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,107,-4285.490913392933,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,200,117,-4352.6618262311795,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
