Age, linear
SocioEcon, nonlinear
RiskAversion, nonlinear
MakeModel, linear
Mileage, linear
HomeBase, linear
SeniorTrain, nonlinear
VehicleYear, linear
Airbag, nonlinear
GoodStudent, linear
DrivingSkill, nonlinear
Cushioning, linear
DrivQuality, linear
Antilock, nonlinear
CarValue, nonlinear
AntiTheft, nonlinear
Accident, nonlinear
Theft, linear
RuggedAuto, linear
ThisCarDam, linear
OtherCar, linear
MedCost, nonlinear
ThisCarCost, linear
OtherCarCost, linear
ILiCost, linear
DrivHist, nonlinear
PropCost, linear

